con_treat,count,mean,std,min,25%,50%,75%,max
control,145274.0,1804.9257616641657,1036.9669695566313,0.0,908.6,1803.6,2703.1,3599.9
treatment,145310.0,1801.5123350079139,1039.0929820999788,0.0,901.625,1803.6,2700.1,3599.9
